2015-01-01;10;14;56
2015-01-02;15;10;74
2015-01-03;17;16;78
2015-01-04;19;14;82
2015-01-05;14;14;60
2015-01-06;15;10;87
2015-01-07;13;10;82
2015-01-08;12;12;76
2015-01-09;15;12;81
2015-01-10;19;15;91
2015-01-11;18;33;88
2015-01-12;15;12;58
2015-01-13;18;10;73
2015-01-14;15;14;88
2015-01-15;17;11;76
2015-01-16;19;17;76
2015-01-17;14;19;84
2015-01-18;13;11;49
2015-01-19;13;8;44
2015-01-20;13;6;47
2015-01-21;13;22;79
2015-01-22;14;13;68
2015-01-23;13;10;77
2015-01-24;14;11;59
2015-01-25;13;21;54
2015-01-26;12;25;47
2015-01-27;13;8;48
2015-01-28;12;17;52
2015-01-29;12;41;83
2015-01-30;12;66;61
2015-01-31;11;9;65
2015-02-01;9;43;61
2015-02-02;10;17;61
2015-02-03;12;17;66
2015-02-04;12;20;83
2015-02-05;11;18;76
2015-02-06;10;8;71
2015-02-07;12;7;71
2015-02-08;10;12;73
2015-02-09;10;18;65
2015-02-10;13;12;62
2015-02-11;16;9;59
2015-02-12;17;6;56
2015-02-13;15;10;62
2015-02-14;13;12;64
2015-02-15;14;9;80
2015-02-16;12;10;81
2015-02-17;18;12;67
2015-02-18;16;17;38
2015-02-19;14;10;53
2015-02-20;14;11;50
2015-02-21;13;20;78
2015-02-22;14;9;68
2015-02-23;15;17;65
2015-02-24;12;35;60
2015-02-25;14;18;68
2015-02-26;14;14;65
2015-02-27;13;12;65
2015-02-28;14;10;65
2015-03-01;12;10;75
2015-03-02;16;12;95
2015-03-03;17;17;81
2015-03-04;17;15;87
2015-03-05;12;57;68
2015-03-06;13;22;52
2015-03-07;15;14;54
2015-03-08;15;13;57
2015-03-09;14;19;80
2015-03-10;16;15;82
2015-03-11;17;15;83
2015-03-12;17;14;69
2015-03-13;15;16;69
2015-03-14;13;12;89
2015-03-15;14;28;84
2015-03-16;14;13;82
2015-03-17;15;9;94
2015-03-18;17;10;82
2015-03-19;19;9;84
2015-03-20;21;19;65
2015-03-21;18;18;61
2015-03-22;16;11;86
2015-03-23;17;15;78
2015-03-24;21;19;71
2015-03-25;15;15;83
2015-03-26;17;15;94
2015-03-27;19;28;83
2015-03-28;18;21;64
2015-03-29;20;14;78
2015-03-30;19;23;82
2015-03-31;19;31;82
2015-04-01;18;23;61
2015-04-02;18;17;70
2015-04-03;21;15;66
2015-04-04;17;19;88
2015-04-05;16;15;84
2015-04-06;16;20;57
2015-04-07;15;10;46
2015-04-08;17;20;65
2015-04-09;19;15;55
2015-04-10;20;15;65
2015-04-11;22;13;62
2015-04-12;22;14;75
2015-04-13;21;17;75
2015-04-14;22;16;71
2015-04-15;25;14;65
2015-04-16;26;8;46
2015-04-17;22;15;78
2015-04-18;22;15;72
2015-04-19;23;13;71
2015-04-20;20;14;72
2015-04-21;22;16;63
2015-04-22;24;16;55
2015-04-23;22;18;66
2015-04-24;22;18;82
2015-04-25;24;14;66
2015-04-26;24;15;80
2015-04-27;20;24;82
2015-04-28;19;21;79
2015-04-29;20;19;73
2015-04-30;21;17;61
2015-05-01;23;15;68
2015-05-02;24;12;77
2015-05-03;29;14;60
2015-05-04;31;15;49
2015-05-05;31;19;64
2015-05-06;30;18;66
2015-05-07;25;18;54
2015-05-08;25;17;52
2015-05-09;25;16;70
2015-05-10;27;16;63
2015-05-11;28;17;56
2015-05-12;28;17;51
2015-05-13;27;17;56
2015-05-14;27;16;57
2015-05-15;20;28;73
2015-05-16;23;14;65
2015-05-17;29;13;63
2015-05-18;28;18;64
2015-05-19;25;18;64
2015-05-20;23;18;55
2015-05-21;18;25;58
2015-05-22;23;14;61
2015-05-23;21;12;67
2015-05-24;23;13;71
2015-05-25;23;14;70
2015-05-26;23;12;83
2015-05-27;24;8;67
2015-05-28;24;16;66
2015-05-29;25;17;61
2015-05-30;26;15;53
2015-05-31;25;18;66
2015-06-01;27;16;55
2015-06-02;27;17;58
2015-06-03;29;18;53
2015-06-04;29;17;56
2015-06-05;31;16;56
2015-06-06;31;15;55
2015-06-07;31;15;53
2015-06-08;30;17;62
2015-06-09;29;14;66
2015-06-10;31;9;51
2015-06-11;32;10;47
2015-06-12;32;32;72
2015-06-13;31;19;61
2015-06-14;26;17;81
2015-06-15;27;15;70
2015-06-16;26;17;63
2015-06-17;27;17;62
2015-06-18;27;15;69
2015-06-19;28;16;70
2015-06-20;28;16;69
2015-06-21;28;17;58
2015-06-22;28;18;60
2015-06-23;29;12;57
2015-06-24;30;14;55
2015-06-25;29;18;54
2015-06-26;29;19;61
2015-06-27;30;19;62
2015-06-28;31;15;65
2015-06-29;32;18;62
2015-06-30;31;17;60
2015-07-01;32;14;54
2015-07-02;33;16;51
2015-07-03;35;16;49
2015-07-04;34;17;53
2015-07-05;34;17;55
2015-07-06;34;17;51
2015-07-07;34;17;53
2015-07-08;33;16;55
2015-07-09;32;15;55
2015-07-10;32;18;59
2015-07-11;33;19;55
2015-07-12;33;19;54
2015-07-13;32;18;65
2015-07-14;33;16;67
2015-07-15;34;15;54
2015-07-16;33;16;56
2015-07-17;36;17;53
2015-07-18;36;15;37
2015-07-19;35;18;42
2015-07-20;33;19;58
2015-07-21;34;18;54
2015-07-22;33;14;68
2015-07-23;32;17;66
2015-07-24;32;15;70
2015-07-25;31;17;62
2015-07-26;30;17;63
2015-07-27;31;18;68
2015-07-28;29;18;52
2015-07-29;31;16;60
2015-07-30;32;17;56
2015-07-31;32;17;47
2015-08-01;32;17;72
2015-08-02;32;17;55
2015-08-03;32;16;64
2015-08-04;32;17;61
2015-08-05;33;17;56
2015-08-06;35;16;59
2015-08-07;35;17;46
2015-08-08;35;15;50
2015-08-09;32;18;68
2015-08-10;28;15;68
2015-08-11;32;11;63
2015-08-12;34;14;54
2015-08-13;34;17;54
2015-08-14;30;18;73
2015-08-15;27;18;60
2015-08-16;26;19;64
2015-08-17;27;19;63
2015-08-18;29;16;59
2015-08-19;28;17;60
2015-08-20;30;15;61
2015-08-21;29;19;71
2015-08-22;29;14;69
2015-08-23;32;14;60
2015-08-24;30;17;82
2015-08-25;29;17;62
2015-08-26;30;17;71
2015-08-27;31;15;69
2015-08-28;32;16;68
2015-08-29;33;13;75
2015-08-30;33;16;54
2015-08-31;33;17;57
2015-09-01;33;16;44
2015-09-02;28;15;62
2015-09-03;30;15;52
2015-09-04;30;14;58
2015-09-05;26;23;62
2015-09-06;26;15;57
2015-09-07;27;14;65
2015-09-08;29;17;56
2015-09-09;28;15;43
2015-09-10;26;16;59
2015-09-11;27;14;53
2015-09-12;30;15;55
2015-09-13;32;22;82
2015-09-14;29;16;88
2015-09-15;29;13;48
2015-09-16;31;15;75
2015-09-17;31;15;53
2015-09-18;28;17;64
2015-09-19;26;16;52
2015-09-20;27;17;60
2015-09-21;27;19;67
2015-09-22;26;17;61
2015-09-23;22;28;78
2015-09-24;25;13;64
2015-09-25;26;14;62
2015-09-26;26;17;70
2015-09-27;26;13;72
2015-09-28;26;16;69
2015-09-29;25;16;68
2015-09-30;25;21;61
2015-10-01;24;28;70
2015-10-02;22;30;88
2015-10-03;25;13;66
2015-10-04;25;9;73
2015-10-05;26;12;74
2015-10-06;27;15;83
2015-10-07;23;19;89
2015-10-08;24;12;64
2015-10-09;23;14;67
2015-10-10;22;14;77
2015-10-11;23;13;81
2015-10-12;24;12;81
2015-10-13;24;11;65
2015-10-14;21;13;87
2015-10-15;16;21;77
2015-10-16;18;14;72
2015-10-17;20;10;68
2015-10-18;24;14;70
2015-10-19;24;12;59
2015-10-20;23;10;80
2015-10-21;21;15;68
2015-10-22;21;14;64
2015-10-23;22;14;57
2015-10-24;23;14;79
2015-10-25;23;10;85
2015-10-26;21;12;72
2015-10-27;24;16;73
2015-10-28;22;14;95
2015-10-29;19;17;86
2015-10-30;22;13;70
2015-10-31;23;17;55
2015-11-01;22;17;61
2015-11-02;23;17;61
2015-11-03;25;18;69
2015-11-04;23;8;55
2015-11-05;22;12;67
2015-11-06;22;13;67
2015-11-07;23;10;58
2015-11-08;23;11;61
2015-11-09;22;13;62
2015-11-10;22;14;75
2015-11-11;21;12;72
2015-11-12;22;10;73
2015-11-13;21;13;73
2015-11-14;22;11;69
2015-11-15;20;10;71
2015-11-16;21;10;71
2015-11-17;21;11;66
2015-11-18;21;8;68
2015-11-19;21;11;74
2015-11-20;20;20;75
2015-11-21;15;43;85
2015-11-22;11;17;58
2015-11-23;13;19;63
2015-11-24;15;10;62
2015-11-25;10;19;86
2015-11-26;13;18;57
2015-11-27;13;12;52
2015-11-28;14;13;63
2015-11-29;15;13;53
2015-11-30;17;13;63
2015-12-01;17;11;63
2015-12-02;18;10;73
2015-12-03;18;7;70
2015-12-04;16;10;70
2015-12-05;16;5;68
2015-12-06;17;5;75
2015-12-07;18;11;72
2015-12-08;17;6;67
2015-12-09;16;8;75
2015-12-10;17;9;72
2015-12-11;16;10;66
2015-12-12;15;9;64
2015-12-13;16;7;61
2015-12-14;15;8;66
2015-12-15;15;10;62
2015-12-16;17;7;80
2015-12-17;17;9;72
2015-12-18;17;9;80
2015-12-19;17;8;78
2015-12-20;18;4;73
2015-12-21;17;8;67
2015-12-22;17;8;75
2015-12-23;17;7;67
2015-12-24;17;7;63
2015-12-25;16;8;59
2015-12-26;17;8;63
2015-12-27;17;9;70
2015-12-28;17;8;70
2015-12-29;16;7;62
2015-12-30;16;7;71
